task,model,protocol,protocol_kind,n_subjects,n_epochs,chance,mean_acc,std_acc,ci_low,ci_high
imagery_left_right_fist,csp_lda,pooled_random,leaky_subject_ignored,109,4898,0.504287,0.578762,0.116356,0.556899,0.600427
imagery_left_right_fist,csp_lda,within_subject,legit_leave_one_run_out,109,4898,0.504287,0.620759,0.136826,0.595135,0.646221
imagery_left_right_fist,csp_lda,cross_subject,rigorous_group_kfold,109,4898,0.504287,0.605293,0.123384,0.582306,0.628397
imagery_left_right_fist,riemann_ts_lr,pooled_random,leaky_subject_ignored,109,4898,0.504287,0.647953,0.126488,0.623252,0.67124
imagery_left_right_fist,riemann_ts_lr,within_subject,legit_leave_one_run_out,109,4898,0.504287,0.666653,0.128882,0.641764,0.690183
imagery_left_right_fist,riemann_ts_lr,cross_subject,rigorous_group_kfold,109,4898,0.504287,0.593128,0.107618,0.573166,0.613072
real_left_right_fist,csp_lda,pooled_random,leaky_subject_ignored,109,4897,0.500715,0.560131,0.0761395,0.545632,0.574107
real_left_right_fist,csp_lda,within_subject,legit_leave_one_run_out,109,4897,0.500715,0.653939,0.124114,0.630606,0.67723
real_left_right_fist,csp_lda,cross_subject,rigorous_group_kfold,109,4897,0.500715,0.592608,0.0995288,0.574028,0.611168
real_left_right_fist,riemann_ts_lr,pooled_random,leaky_subject_ignored,109,4897,0.500715,0.713619,0.118576,0.690272,0.734709
real_left_right_fist,riemann_ts_lr,within_subject,legit_leave_one_run_out,109,4897,0.500715,0.694407,0.120481,0.671097,0.716903
real_left_right_fist,riemann_ts_lr,cross_subject,rigorous_group_kfold,109,4897,0.500715,0.647358,0.116644,0.625138,0.669053
imagery_fists_feet,csp_lda,pooled_random,leaky_subject_ignored,109,4897,0.500715,0.596605,0.122054,0.573959,0.619397
imagery_fists_feet,csp_lda,within_subject,legit_leave_one_run_out,109,4897,0.500715,0.667316,0.142411,0.640079,0.693407
imagery_fists_feet,csp_lda,cross_subject,rigorous_group_kfold,109,4897,0.500715,0.589558,0.115763,0.567653,0.611175
imagery_fists_feet,riemann_ts_lr,pooled_random,leaky_subject_ignored,109,4897,0.500715,0.628396,0.128481,0.603444,0.651862
imagery_fists_feet,riemann_ts_lr,within_subject,legit_leave_one_run_out,109,4897,0.500715,0.696448,0.141043,0.668709,0.722306
imagery_fists_feet,riemann_ts_lr,cross_subject,rigorous_group_kfold,109,4897,0.500715,0.572461,0.107242,0.552542,0.592864
real_fists_feet,csp_lda,pooled_random,leaky_subject_ignored,109,4879,0.501742,0.511683,0.0834316,0.496284,0.527442
real_fists_feet,csp_lda,within_subject,legit_leave_one_run_out,109,4879,0.501742,0.76123,0.150392,0.731745,0.788432
real_fists_feet,csp_lda,cross_subject,rigorous_group_kfold,109,4879,0.501742,0.515768,0.0874217,0.499237,0.532139
real_fists_feet,riemann_ts_lr,pooled_random,leaky_subject_ignored,109,4879,0.501742,0.758149,0.135259,0.731668,0.782737
real_fists_feet,riemann_ts_lr,within_subject,legit_leave_one_run_out,109,4879,0.501742,0.770353,0.143006,0.742356,0.796666
real_fists_feet,riemann_ts_lr,cross_subject,rigorous_group_kfold,109,4879,0.501742,0.661635,0.13374,0.635388,0.686339
